Grenada,Male,70.63
Grenada,Female,75.33
Guatemala,Both sexes,72.02
Guatemala,Male,68.95
Guatemala,Female,75.04
Guinea,Both sexes,61.01
Guinea,Male,59.48
Guinea,Female,62.25
Guinea-Bissau,Both sexes,60.22
Guinea-Bissau,Male,57.36
Guinea-Bissau,Female,62.98
Guyana,Both sexes,65.69
Guyana,Male,62.45
Guyana,Female,69.39
Haiti,Both sexes,64.05
Haiti,Male,63.34
Haiti,Female,64.76
Honduras,Both sexes,71.94
Honduras,Male,70.67
Honduras,Female,73.16
Hungary,Both sexes,76.44
Hungary,Male,73.09
Hungary,Female,79.59
Iceland,Both sexes,82.33
Iceland,Male,80.81
Iceland,Female,83.87
India,Both sexes,70.79
India,Male,69.52
India,Female,72.17
Indonesia,Both sexes,71.31
Indonesia,Male,69.4
Indonesia,Female,73.3
Iran,Both sexes,77.35
Iran,Male,75.69
Iran,Female,79.09
Iraq,Both sexes,72.42
Iraq,Male,69.93
Iraq,Female,74.97
Ireland,Both sexes,81.84
Ireland,Male,80.2
Ireland,Female,83.48
Israel,Both sexes,82.62
Israel,Male,80.79
Israel,Female,84.36
Italy,Both sexes,82.97
Italy,Male,80.91
Italy,Female,84.9
Jamaica,Both sexes,75.98
Jamaica,Male,74.36
Jamaica,Female,77.68
Japan,Both sexes,84.26
Japan,Male,81.49
Japan,Female,86.94
Jordan,Both sexes,77.87
Jordan,Male,77.02
Jordan,Female,78.78
Kazakhstan,Both sexes,73.95
Kazakhstan,Male,69.98
Kazakhstan,Female,77.61
Kenya,Both sexes,66.09
Kenya,Male,63.7
Kenya,Female,68.44
Kiribati,Both sexes,59.42
Kiribati,Male,56.14
Kiribati,Female,62.8
Kuwait,Both sexes,80.97
Kuwait,Male,79.25
Kuwait,Female,83.95
Kyrgyzstan,Both sexes,74.18
Kyrgyzstan,Male,70.75
Kyrgyzstan,Female,77.31
Laos,Both sexes,68.51
Laos,Male,66.19
Laos,Female,70.95
Latvia,Both sexes,75.38
Latvia,Male,70.58
Latvia,Female,79.84
Lebanon,Both sexes,76.44
Lebanon,Male,74.03
Lebanon,Female,79.15
Lesotho,Both sexes,50.75
Lesotho,Male,47.66
Lesotho,Female,54.24
Liberia,Both sexes,64.08
Liberia,Male,63.15
Liberia,Female,65
Libya,Both sexes,75.78
Libya,Male,74.21
Libya,Female,77.34
Lithuania,Both sexes,75.99
Lithuania,Male,71.23
Lithuania,Female,80.43
Luxembourg,Both sexes,82.41
Luxembourg,Male,80.62
Luxembourg,Female,84.2
Madagascar,Both sexes,65.35
Madagascar,Male,64.1
Madagascar,Female,66.6
Malawi,Both sexes,65.62
Malawi,Male,62.31
Malawi,Female,68.93
Malaysia,Both sexes,74.72
Malaysia,Male,72.61
Malaysia,Female,77.08
Maldives,Both sexes,79.59
Maldives,Male,78.63
Maldives,Female,80.76
Mali,Both sexes,62.8
Mali,Male,62.2
Mali,Female,63.4
Malta,Both sexes,81.89
Malta,Male,79.94
Malta,Female,83.8
Mauritania,Both sexes,68.38
Mauritania,Male,68.08
Mauritania,Female,68.73
Mauritius,Both sexes,74.07
Mauritius,Male,70.95
Mauritius,Female,77.32
Mexico,Both sexes,76.01
Mexico,Male,73.13
Mexico,Female,78.86
Micronesia (Federated States of),Both sexes,63.03
Micronesia (Federated States of),Male,60.35
Micronesia (Federated States of),Female,66.05
Mongolia,Both sexes,68.1
Mongolia,Male,63.82
Mongolia,Female,72.76
Montenegro,Both sexes,75.88
Montenegro,Male,73.15
Montenegro,Female,78.65
Morocco,Both sexes,72.99
Morocco,Male,71.68
Morocco,Female,74.31
Mozambique,Both sexes,58.14
Mozambique,Male,54.46
Mozambique,Female,61.73
Myanmar,Both sexes,69.13
Myanmar,Male,65.91
Myanmar,Female,72.2
Namibia,Both sexes,64.58
Namibia,Male,60.58
Namibia,Female,68.45
Nepal,Both sexes,70.88
Nepal,Male,68.88
Nepal,Female,72.75
Netherlands,Both sexes,81.79
Netherlands,Male,80.4
Netherlands,Female,83.15
New Zealand,Both sexes,81.96
New Zealand,Male,80.36
New Zealand,Female,83.52
Nicaragua,Both sexes,75.04
Nicaragua,Male,72.07
Nicaragua,Female,77.93
Niger,Both sexes,63.29
Niger,Male,62.06
Niger,Female,64.56
Nigeria,Both sexes,62.62
Nigeria,Male,61.2
Nigeria,Female,64.1
Norway,Both sexes,82.62
Norway,Male,81.08
Norway,Female,84.13
Oman,Both sexes,73.9
Oman,Male,72.97
Oman,Female,75.26
Pakistan,Both sexes,65.61
Pakistan,Male,64.59
Pakistan,Female,66.72
Panama,Both sexes,79.29
Panama,Male,76.65
Panama,Female,82.06
Papua New Guinea,Both sexes,65.3
Papua New Guinea,Male,63.4
Papua New Guinea,Female,67.36
Paraguay,Both sexes,75.81
Paraguay,Male,73.08
Paraguay,Female,78.85
Peru,Both sexes,79.9
Peru,Male,78.46
Peru,Female,81.34
Philippines,Both sexes,70.43
Philippines,Male,67.4
Philippines,Female,73.6
Poland,Both sexes,78.27
Poland,Male,74.53
Poland,Female,81.93
Portugal,Both sexes,81.57
Portugal,Male,78.56
